상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,위도,경도,지번주소,신우편번호,카카오맵ID
MA0101202406A0465702,카페인중독잠실,방이점,3120233,몽촌토성역,서울특별시 송파구 위례성대로2길 11,37.5159822871706,127.113453056366,서울특별시 송파구 방이동 48-2,5545,
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,굽은다리역 3번,서울특별시 강동구 상암로51길 31,37.5479770216037,127.146069550707,서울특별시 강동구 명일동 338-17,5294,
MA010120220807113501,해피클럽,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 산림동 207-2,4545,
MA0101202409A0021931,에나꼬레,,3130173,백련시장,서울특별시 서대문구 가재울로6길 53-87,37.5770093670864,126.923110501294,서울특별시 서대문구 남가좌동 345-4,3692,
MA0101202311A0083488,두번째디저트,,3110852,이수역 9번,서울특별시 동작구 사당로28길 13,37.4834276222441,126.979727510488,서울특별시 동작구 사당동 1005-1,7013,
MA010120220803658119,이디야사가정점,,3120068,사가정역,서울특별시 중랑구 면목로 325,37.5811370338552,127.088181000117,서울특별시 중랑구 면목동 496-18,2228,
MA0101202311A0016316,청림무역,,3110037,신설동역 12번,서울특별시 종로구 숭인동길 68,37.577951370222,127.022007520491,서울특별시 종로구 숭인동 365,3111,
MA010120220804670501,아케디뜨,,3130060,신흥시장,서울특별시 용산구 신흥로 95-15,37.5452462908367,126.985017889339,서울특별시 용산구 용산동2가 1-490,4337,
MA0101202303A0088204,커피앤김밥,,3120151,보라매공원,서울특별시 관악구 보라매로3길 29,37.491181303006,126.925075633006,서울특별시 관악구 봉천동 729-32,8708,
MA0101202307A0029658,요거요거요거트,,3110671,등촌1동주민센터,서울특별시 강서구 공항대로53가길 54,37.5556238147849,126.859144142145,서울특별시 강서구 등촌동 643-1,7570,
MA010120220804283432,커피인페르노,,3111042,거여역 1번(거여공원),서울특별시 송파구 거마로9길 24,37.4972086106228,127.143584508145,서울특별시 송파구 거여동 135-19,5735,
MA010120220814138033,디자인정인플러스,,3110283,성북초등학교앞,서울특별시 성북구 성북로15길 32,37.5927026758791,126.999252683636,서울특별시 성북구 성북동 125-6,2880,
MA0101202310A0014635,이디야팀이공사점,,3130046,team204(팀204),서울특별시 중구 마장로 30,37.5677173808739,127.0131981779,서울특별시 중구 신당동 204-48,4566,
MA0101202210A0089507,노브.,,3110405,방학역 1번,서울특별시 도봉구 도당로27길 38,37.6690811232512,127.041087812415,서울특별시 도봉구 방학동 650-3,1350,
MA010120220812684551,리예몬,,3130100,답십리시장,서울특별시 동대문구 답십리로 159-16,37.5736323733601,127.058094685171,서울특별시 동대문구 답십리동 70-9,2538,
MA010120220805502965,에그허그,,3110179,광나루역 1번,서울특별시 광진구 천호대로143길 8-5,37.5460490136718,127.10328034094,서울특별시 광진구 광장동 245-7,4968,
MA010120220804498801,뷰파트너스주,,3120187,신논현역,서울특별시 강남구 봉은사로 107,37.5050237707242,127.025390320936,서울특별시 강남구 논현동 201-16,6120,
MA0101202212A0097331,현욱기획,,3130308,청담삼익시장,서울특별시 강남구 학동로101길 26,37.5224468696354,127.05762510496,서울특별시 강남구 청담동 134-20,6077,
