상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,상권업종소분류코드,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,신우편번호,동정보,층정보,호정보,경도,위도,가장가까운_지하철역,지하철역_거리(m),가장가까운_버스정류장,버스정류장_거리(m),반경500m내_카페수,밀집등급,총_유동인구_수,피크_유동인구_수_상권별,기준_년분기_코드,피크_유동인구_수_11~14,상권_코드,상권_코드_명,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율,전용면적,리뷰수,별점,카페_추정매출
MA010120220800672495,가비수구.거니는집,,3130284,관악종합시장(신원시장),I21201,카페,11,서울특별시,11620,관악구,11620655,신원동,1162010200,신림동,1162010200116020001,1,대지,1602.0,1.0,서울특별시 관악구 신림동 1602-1,116203120007,서울특별시 관악구 신원로,23.0,,1162010200116020001019455,,서울특별시 관악구 신원로 23,8774,,,,126.928058757351,37.4815694015989,2호선 신림,327,서원동승리교앞,155,78,2,70102,,,7883,3130284,관악종합시장(신원시장),9545.8,11187.0,1.1719290159022815,1517.3275954516637,0.0,5.0,474663274.0
MA0101202406A0465702,카페인중독잠실,방이점,3120233,몽촌토성역,I21201,카페,11,서울특별시,11710,송파구,11710562,방이2동,1171011100,방이동,1171011100100480002,1,대지,48.0,2.0,서울특별시 송파구 방이동 48-2,117104169456,서울특별시 송파구 위례성대로2길,11.0,,1171011100100480002015879,어반로프트올림픽파크,서울특별시 송파구 위례성대로2길 11,5545,,1,,127.113453056366,37.5159822871706,8호선 몽촌토성(평화의문),185,몽촌토성역.한성백제역,98,53,1,46743,6341.0,20244.0,6341,3120233,몽촌토성역,128280.6,123353.5,0.9615912304744444,652.2272788859362,11.0,2.8,3034906070.563317
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,굽은다리역 3번,I21201,카페,11,서울특별시,11740,강동구,11740530,명일1동,1174010100,명일동,1174010100103380017,1,대지,338.0,17.0,서울특별시 강동구 명일동 338-17,117404172138,서울특별시 강동구 상암로51길,31.0,,1174010100103380017019459,,서울특별시 강동구 상암로51길 31,5294,,1,,127.146069550707,37.5479770216037,5호선 굽은다리(강동구민회관앞),397,굽은다리사거리,235,60,2,28573,5777.0,20244.0,3363,3111080,굽은다리역 3번,85390.4,100831.0,1.180823605463846,110.23455374143624,0.0,4.62,197877857.2268295
MA010120220803375113,커피가게동경연희점,,3130174,연희사러가,I21201,카페,11,서울특별시,11410,서대문구,11410615,연희동,1141011700,연희동,1141011700101310001,1,대지,131.0,1.0,서울특별시 서대문구 연희동 131-1,114103112009,서울특별시 서대문구 연희맛로,23.0,,1141011700101310001021009,사러가쇼핑,서울특별시 서대문구 연희맛로 23,3707,,1,,126.929663080986,37.5671475587255,경의중앙선호선 홍대입구,1089,연희104고지앞.구성산회관(중),355,88,3,37170,,,5516,3130174,연희사러가,5242.2,5480.0,1.0453626340086224,2706.7668740028453,256.0,4.025,5951169037.0
MA010120220813491137,컴포즈커피강남,시장점,3130302,강남시장(강남구 강남시장),I21201,카페,11,서울특별시,11680,강남구,11680510,신사동,1168010700,신사동,1168010700105100011,1,대지,510.0,11.0,서울특별시 강남구 신사동 510-11,116804166515,서울특별시 강남구 압구정로2길,46.0,,1168010700105100011011812,강남상가,서울특별시 강남구 압구정로2길 46,6034,,1,,127.020677958375,37.5187650050546,신분당선(연장2)호선 신사,274,신사역6번출구,187,139,4,50805,,,8687,3130302,강남시장(강남구 강남시장),7556.8,6510.0,0.861475756934152,1227.033095816304,20.5,4.525,8830213844.0
MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,시립서북병원,I21201,카페,11,서울특별시,11380,은평구,11380560,구산동,1138010500,구산동,1138010500101900008,1,대지,190.0,8.0,서울특별시 은평구 구산동 190-8,113804133015,서울특별시 은평구 갈현로11길,12.0,,1138010500101900008046075,,서울특별시 은평구 갈현로11길 12,3430,,1,,126.909230864566,37.6054618442717,6호선 응암,945,시립서북병원세현교회앞,127,27,0,166295,17033.0,20244.0,17033,3110450,시립서북병원,257303.8,271328.5,1.054506385059218,119.97721091779071,8.0,4.7,1253072688.8528352
MA010120220814115583,더치앤빈흑리단길점,,3110842,흑리단길,I21201,카페,11,서울특별시,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500100430005,1,대지,43.0,5.0,서울특별시 동작구 흑석동 43-5,115904157413,서울특별시 동작구 서달로14길,40.0,,1159010500100430005015760,,서울특별시 동작구 서달로14길 40,6979,,1,,126.96498404004,37.5073098626657,9호선 흑석(중앙대입구),197,흑석역.명수대현대아파트,25,19,0,20720,4452.0,20244.0,2943,3110842,흑리단길,23602.8,23870.5,1.011341874692833,107.77540297320476,19.0,4.34,1372286156.9911652
MA010120220807123745,세운나다방,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,4,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,148.0,4.6,5557652037.908222
MA010120220813241715,브라운컬렉션,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,82.0,4.58,5203889528.089068
MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,868.0,4.3,9416879417.753532
